name, date, picture
Apple, 01/04/1976, apple.jpg
Microsoft, 04/04/1975, microsoft.jpg
Sony, 07/05/1946, sony.jpg
Google, 04/09/1998, google.jpg
Nestle, 02/09/1866, nestle.jpg
Netflix, 29/08/1997, netflix.jpg
IBM, 16/06/1911, ibm.jpg
Oracle, 16/06/1977, oracle.jpg
SAP, 01/04/1972, sap.jpg
Coca-Cola, 29/01/1892, cocacola.jpg
Audi, 16/06/1909, audi.jpg
Porsche, 25/04/1931, porsche.jpg
Spotify, 23/04/2006, spotify.jpg
Twitter, 21/03/2006, twitter.jpg
Tesla, 01/07/2003, tesla.jpg
Lenovo, 01/11/1984, lenovo.jpg
Foxconn, 20/02/1974, foxconn.jpg
JetBrains, 14/08/2000, jetbrains.jpg
ESET, 17/09/1992, eset.jpg
Avast, 01/04/1988, avast.jpg
